Date : 2026-05-22 15:17:56
Directory : /home/jowens/Projects/ns2
Total : 125 files,  10498 codes, 2223 comments, 2406 blanks, all 15127 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/temp_bridge.go                           | Go               |          1 |        293 |         63 |        357 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/test.go                                  | Go               |         40 |          0 |         20 |         60 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/test.json                                | JSON             |         20 |          0 |          0 |         20 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/utils.go                                 | Go               |         28 |          1 |         13 |         42 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/main.go                                      | Go               |          7 |         53 |         10 |         70 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/openConnection.sh                            | Shell Script     |          1 |          0 |          2 |          3 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/test.sh                                      | Shell Script     |          3 |          0 |          1 |          4 |
| /home/jowens/Projects/ns2/src/ns2/cli/__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| /home/jowens/Projects/ns2/src/ns2/cli/main.py                                             | Python           |         26 |          0 |         16 |         42 |
| /home/jowens/Projects/ns2/src/ns2/cli/status.py                                           | Python           |         14 |         10 |          9 |         33 |
| /home/jowens/Projects/ns2/src/ns2/common.py                                               | Python           |          9 |          0 |          8 |         17 |
| /home/jowens/Projects/ns2/src/ns2/lib/__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| /home/jowens/Projects/ns2/src/ns2/lib/accounts_lib.py                                     | Python           |        108 |          0 |         53 |        161 |
| /home/jowens/Projects/ns2/src/ns2/lib/authorization.py                                    | Python           |         78 |         10 |         22 |        110 |
| /home/jowens/Projects/ns2/src/ns2/lib/bridge.py                                           | Python           |        164 |         22 |         64 |        250 |
| /home/jowens/Projects/ns2/src/ns2/lib/dbus.py                                             | Python           |         59 |          2 |         13 |         74 |
| /home/jowens/Projects/ns2/src/ns2/lib/firewalld.py                                        | Python           |        304 |         64 |        109 |        477 |
| /home/jowens/Projects/ns2/src/ns2/lib/networking.py                                       | Python           |        519 |         25 |        154 |        698 |
| /home/jowens/Projects/ns2/src/ns2/lib/nm.py                                               | Python           |        141 |          0 |         25 |        166 |
| /home/jowens/Projects/ns2/src/ns2/lib/ns_socket.py                                        | Python           |        140 |         13 |         58 |        211 |
| /home/jowens/Projects/ns2/src/ns2/lib/old_systemd.py                                      | Python           |        116 |          0 |         35 |        151 |
| /home/jowens/Projects/ns2/src/ns2/lib/snmp.py                                             | Python           |        389 |         52 |        116 |        557 |
| /home/jowens/Projects/ns2/src/ns2/lib/systemd1.py                                         | Python           |         33 |         20 |         24 |         77 |
| /home/jowens/Projects/ns2/src/ns2/lib/test_networking.py                                  | Python           |         29 |        116 |         37 |        182 |
| /home/jowens/Projects/ns2/src/ns2/main.py                                                 | Python           |          3 |          0 |          2 |          5 |
| /home/jowens/Projects/ns2/src/ns2/tests/account_test.py                                   | Python           |          3 |          0 |          2 |          5 |
| /home/jowens/Projects/ns2/src/ns2/tests/network_delay.py                                  | Python           |         57 |          8 |         29 |         94 |
| /home/jowens/Projects/ns2/src/ns2/tests/nm_tests.py                                       | Python           |         13 |          1 |          9 |         23 |
| /home/jowens/Projects/ns2/src/ns2/tests/pam_client.py                                     | Python           |         15 |         14 |         10 |         39 |
| /home/jowens/Projects/ns2/src/ns2/tests/ping_data_collector.py                            | Python           |         27 |          0 |         10 |         37 |
| /home/jowens/Projects/ns2/src/ns2/tests/socket_client.py                                  | Python           |         16 |         11 |         18 |         45 |
| /home/jowens/Projects/ns2/src/ns2/tests/systemd_tests.py                                  | Python           |         11 |          0 |          8 |         19 |
